Sentence #,Word,POS,Tag
Sentence: 1,Thousands,NNS,O
Sentence: 2,Families,NNS,O
Sentence: 3,They,PRP,O
Sentence: 4,Police,NNS,O
Sentence: 5,The,DT,O
Sentence: 6,The,DT,O
Sentence: 7,The,DT,O
Sentence: 8,The,DT,O
Sentence: 9,Iran,NNP,B-gpe
Sentence: 10,Iranian,JJ,B-gpe
Sentence: 11,The,DT,O
Sentence: 12,The,DT,O
Sentence: 13,Iran,NNP,B-gpe
Sentence: 14,Two,CD,O
Sentence: 15,An,DT,O
Sentence: 16,The,DT,O
Sentence: 17,Militant,JJ,O
Sentence: 18,Poor,JJ,O
Sentence: 19,Suspected,JJ,O
Sentence: 20,It,PRP,O
Sentence: 21,Local,JJ,O
Sentence: 22,The,DT,O
Sentence: 23,Iraqi,JJ,B-gpe
Sentence: 24,Officials,NNS,O
Sentence: 25,U.S.,NNP,B-gpe
Sentence: 26,Officials,NNS,O
Sentence: 27,Mosul,NNP,B-geo
Sentence: 28,In,IN,O
Sentence: 29,Egyptian,JJ,B-gpe
Sentence: 30,The,DT,O
Sentence: 31,A,DT,O
Sentence: 32,The,DT,O
Sentence: 33,In,IN,O
Sentence: 34,The,DT,O
Sentence: 35,Hardline,JJ,O
Sentence: 36,A,DT,O
Sentence: 37,The,DT,O
Sentence: 38,The,DT,O
Sentence: 39,Violators,NNS,O
Sentence: 40,The,DT,O
Sentence: 41,British,JJ,B-gpe
Sentence: 42,Bedfordshire,NNP,B-gpe
Sentence: 43,Police,NNS,O
Sentence: 44,A,DT,O
Sentence: 45,The,DT,O
Sentence: 46,Pakistani,JJ,B-gpe
Sentence: 47,The,DT,O
Sentence: 48,His,PRP$,O
Sentence: 49,No,DT,O
Sentence: 50,The,DT,O
Sentence: 51,The,DT,O
Sentence: 52,A,DT,O
Sentence: 53,But,CC,O
Sentence: 54,He,PRP,O
Sentence: 55,The,DT,O
Sentence: 56,Khan,NNP,B-per
Sentence: 57,He,PRP,O
Sentence: 58,U.S.,NNP,B-gpe
Sentence: 59,Halliburton,NNP,B-org
Sentence: 60,Critics,NNS,O
Sentence: 61,They,PRP,O
Sentence: 62,The,DT,O
Sentence: 63,When,WRB,O
Sentence: 64,Representatives,NNS,O
Sentence: 65,VOA,NNP,B-org
Sentence: 66,Energy,NN,O
Sentence: 67,Tim,NNP,B-per
Sentence: 68,"""",``,O
Sentence: 69,"""",``,O
Sentence: 70,ABAC,NNP,B-org
Sentence: 71,It,PRP,O
Sentence: 72,It,PRP,O
Sentence: 73,Members,NNS,O
Sentence: 74,ABAC,NNP,B-org
Sentence: 75,Harcourt,NNP,B-per
Sentence: 76,"""",``,O
Sentence: 77,"""",``,O
Sentence: 78,ABAC,NNP,B-org
Sentence: 79,It,PRP,O
Sentence: 80,Sudan,NNP,B-gpe
Sentence: 81,Foreign,NNP,B-per
Sentence: 82,Mr.,NNP,B-per
Sentence: 83,In,IN,O
Sentence: 84,Saturday,NNP,B-tim
Sentence: 85,Khartoum,NNP,B-gpe
Sentence: 86,Aid,NN,O
Sentence: 87,Indonesian,JJ,B-gpe
Sentence: 88,Indonesian,JJ,B-gpe
Sentence: 89,Australian,JJ,B-gpe
Sentence: 90,The,DT,O
Sentence: 91,Indonesian,JJ,B-gpe
Sentence: 92,Gunmen,NNS,O
Sentence: 93,Some,DT,O
Sentence: 94,Two,CD,O
Sentence: 95,Officials,NNS,O
Sentence: 96,In,IN,O
Sentence: 97,Authorities,NNS,O
Sentence: 98,The,DT,O
Sentence: 99,Pakistani,JJ,B-gpe
Sentence: 100,Helicopter,NN,O
Sentence: 101,The,DT,O
Sentence: 102,So,RB,O
Sentence: 103,On,IN,O
Sentence: 104,At,IN,O
Sentence: 105,Elsewhere,RB,O
Sentence: 106,The,DT,O
Sentence: 107,The,DT,O
Sentence: 108,The,DT,O
Sentence: 109,One,CD,O
Sentence: 110,Another,DT,O
Sentence: 111,Separately,RB,O
Sentence: 112,It,PRP,O
Sentence: 113,Taleban,NNP,B-org
Sentence: 114,Russian,JJ,B-gpe
Sentence: 115,Emergency,NN,O
Sentence: 116,Russia,NNP,B-geo
Sentence: 117,The,DT,O
Sentence: 118,The,DT,O
Sentence: 119,Emergency,NN,O
Sentence: 120,Health,NN,O
Sentence: 121,Officials,NNS,O
Sentence: 122,Officials,NNS,O
Sentence: 123,He,PRP,O
Sentence: 124,Not,RB,O
Sentence: 125,Most,JJS,O
Sentence: 126,Witnesses,NNS,O
Sentence: 127,The,DT,O
Sentence: 128,Witnesses,NNS,O
Sentence: 129,Ethiopia,NNP,B-gpe
Sentence: 130,Somalia,NNP,B-gpe
Sentence: 131,The,DT,O
Sentence: 132,Top,JJ,O
Sentence: 133,In,IN,O
Sentence: 134,He,PRP,O
Sentence: 135,Israeli,JJ,B-gpe
Sentence: 136,The,DT,O
Sentence: 137,But,CC,O
Sentence: 138,He,PRP,O
Sentence: 139,The,DT,O
Sentence: 140,A,DT,O
Sentence: 141,Adam,NNP,B-per
Sentence: 142,He,PRP,O
Sentence: 143,Israeli,JJ,B-gpe
Sentence: 144,A,DT,O
Sentence: 145,The,DT,O
Sentence: 146,The,DT,O
Sentence: 147,According,VBG,O
Sentence: 148,Pakistan,NNP,B-geo
Sentence: 149,The,DT,O
Sentence: 150,It,PRP,O
Sentence: 151,The,DT,O
Sentence: 152,Experts,NNS,O
Sentence: 153,VOA,NNP,B-org
Sentence: 154,Amy,NNP,B-per
Sentence: 155,Cuba,NNP,B-gpe
Sentence: 156,The,DT,O
Sentence: 157,The,DT,O
Sentence: 158,Cuba,NNP,B-gpe
Sentence: 159,They,PRP,O
Sentence: 160,The,DT,O
Sentence: 161,The,DT,O
